institution_id,institution_name,country,branch_of_government,level_of_government,has_genai_activity,n_total_rows,n_runs_covered,runs,n_activity_source_rows,activities_found,tools_found,best_summary
EXT-existing-pstw-cfafe8ec92,Elhuyar,Spain,unknown,subnational,yes,1,1,existing_pstw_v1,1,BasqueLLM research project launched the Llama-eus-8B neural model in Basque,,Elhuyar has a legacy database record documenting generative AI activity.
EXT-existing-pstw-d300adce3f,Leeds Beckett University,United Kingdom,unknown,national,yes,1,1,existing_pstw_v1,1,Developing a Generative AI platform for construction cost management,,Leeds Beckett University has a legacy database record documenting generative AI activity.
EXT-existing-pstw-d39c9ada19,City of Vienna - Vienna Digital,Austria,unknown,subnational,yes,1,1,existing_pstw_v1,1,Vienna AI with generative search (de: WienKI mit generative Suche),,City of Vienna - Vienna Digital has a legacy database record documenting generative AI activity.
EXT-existing-pstw-d7539d9cca,"POLITEHNICA Bucharest, the University of Bucharest and the Institute of Logic and Data Science",Romania,unknown,national,yes,1,1,existing_pstw_v1,1,OpenLLM-Ro - The first LLM in Romanian language,,"POLITEHNICA Bucharest, the University of Bucharest and the Institute of Logic and Data Science has a legacy database record documenting generative AI activity."
EXT-existing-pstw-e30e8e8764,Albanian government,Albania,unknown,national,yes,1,1,existing_pstw_v1,1,Albania to speed up EU accession using ChatGPT,ChatGPT,Albanian government has a legacy database record documenting generative AI activity.
EXT-existing-pstw-e6082d072c,Formez,Italy,unknown,national,yes,1,1,existing_pstw_v1,1,"Camilla, Virtual assistant for public competitions",,Formez has a legacy database record documenting generative AI activity.
EXT-existing-pstw-e7d70d7abb,City of Helsinki,Finland,unknown,subnational,yes,2,1,existing_pstw_v1,2,"The City of Helsinki is investigating the benefits of generative artificial intelligence in various work tasks; UrbanistAI, a generative AI platform for participatory planning and co-design: Helsinki use case",Copilot,City of Helsinki has a legacy database record documenting generative AI activity.
EXT-existing-pstw-ebc22703fb,Government of Spain,Spain,unknown,national,yes,1,1,existing_pstw_v1,1,Open Spanish LLM model in collaboration with IBM,,Government of Spain has a legacy database record documenting generative AI activity.
EXT-existing-pstw-ed1278709e,The Cyprus Institute,Cyprus,unknown,unknown,yes,1,1,existing_pstw_v1,1,GENAI4ED - A Platform for Assessing and Bridging Generative AI and Human Skills in Secondary Education,,The Cyprus Institute has a legacy database record documenting generative AI activity.
EXT-existing-pstw-f02435ed57,European Parliament,European Union,legislative,unknown,yes,1,1,existing_pstw_v1,1,EU Parliament archive access with Claude.AI,Claude,European Parliament has a legacy database record documenting generative AI activity.
EXT-existing-pstw-f1d16ea6d6,Norwegian Meteorological Institute,Norway,unknown,national,yes,1,1,existing_pstw_v1,1,DestinE Digital Twin Engine (DTE) workflow for weather forecasting.,,Norwegian Meteorological Institute has a legacy database record documenting generative AI activity.
EXT-existing-pstw-f1ed0e1373,Autonomous Entitat Autònoma del Diari Oficial i de Publications (EADOP),Spain,unknown,subnational,yes,1,1,existing_pstw_v1,1,Application of Generative AI to the Generalitat de Catalunya to facilitate citizens' understanding of legal texts,,Autonomous Entitat Autònoma del Diari Oficial i de Publications (EADOP) has a legacy database record documenting generative AI activity.
EXT-existing-pstw-f992b3188e,Idomsot Zrt.,Hungary,unknown,national,yes,1,1,existing_pstw_v1,1,DONNA: A digital assistant for IT operations,,Idomsot Zrt. has a legacy database record documenting generative AI activity.
EXT-existing-pstw-fa85cd381a,Provincia Autonoma of Trento,Italy,unknown,subnational,yes,1,1,existing_pstw_v1,1,AI pilot in Public Safety Answering Point (PSAP) in Trento (Italy),,Provincia Autonoma of Trento has a legacy database record documenting generative AI activity.
EXT-existing-pstw-fa9e3b9517,Municipality of Amsterdam,Netherlands,unknown,subnational,yes,1,1,existing_pstw_v1,1,ChatAmsterdam - an internally developed generative AI chatbot tailored to the municipality's needs and values to support,,Municipality of Amsterdam has a legacy database record documenting generative AI activity.
EXT-existing-pstw-fb97b023ac,HiTZ,Spain,unknown,subnational,yes,1,1,existing_pstw_v1,1,LATXA: a Basque language LLM,,HiTZ has a legacy database record documenting generative AI activity.
EXT-existing-pstw-fd836789e4,Norwegian University of Science and Technology (NTNU),Norway,unknown,national,yes,1,1,existing_pstw_v1,1,Norwegian University of Science and Technology testing the utility and safety of Microsoft's AI assistant in public sect,Copilot,Norwegian University of Science and Technology (NTNU) has a legacy database record documenting generative AI activity.
EXT-existing-pstw-fe00ab4157,Wrocław University of Science and Technology,Poland,unknown,national,yes,1,1,existing_pstw_v1,1,PLLuM - Polish Large Language Model,,Wrocław University of Science and Technology has a legacy database record documenting generative AI activity.
EXT-existing-pstw-fedc4d9d18,European Digital Infrastructure Consortium (EDIC),European Union,unknown,national,yes,1,1,existing_pstw_v1,1,Alliance for Language Technologies (ALT-EDIC),,European Digital Infrastructure Consortium (EDIC) has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-0248d1426c,General Services Administration,United States,executive,national,yes,2,1,existing_us_federal_v1,2,Elastic Machine Learning Threat Detection - Phase 2; Gemini for Workspace,Gemini,General Services Administration has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-26b2b249d6,Department of Health and Human Services,United States,executive,national,yes,78,1,existing_us_federal_v1,78,"508 Accessibility Automation for Documents; AI Audit Resolution Assistant; AI Use Policy Tool; AI Workspace; AI-enabled landscape analysis of New Approach Methodologies (NAMs) in biomedical research literature; Adverse Childhood Experiences (ACEs) Literature Review Dashboard; Analyzing Public Comments on Proposed Rule; Assessing developing possible version of ""HHSGPT"" for OIDP-specific internal use; Automated Analysis of Injury Control Research Center (ICRC) Annual Progress Reports (APRs) using Large Language Models; Automating LIMS Bioinformatics Workflow Configuration and Enhancing Lab Quality Management with AI; CCSQ Now Assist for CSM; Chat Client - Resource Library; ChatCDC - CDC Enterprise Generative AI Chatbot (Content Editing); ChatCDC - CDC Enterprise Generative AI Chatbot (Data Extraction); ChatCDC - CDC Enterprise Generative AI Chatbot (Ideation); ChatCDC - CDC Enterprise Generative AI Chatbot (Software Development); ChatCDC - CDC Enterprise Generative AI Chatbot (Summarization); ChatCDC- CDC Enterprise GenAI Chatbot: Bring your own Enterprise Data (Data Analysis); ChatCDC- CDC Enterprise GenAI Chatbot: Bring your own Enterprise Data (Summarization); Chatbot for researchers to find data sets for environmental health research efforts; Chatbot within Hub; Collections Summarization Chatbot; Complaint Analysis POC; DECIDE; DEXTR - automated data extraction tool; DGMH AI Chatbot; DHP Virtual Assistant; Design Your Facility; Development of in-silico genomic and patient datasets using generative ML algorithms; Discover Financial Business Intelligence System (FBIS) Report Analysis (Sub-CAN Line Items); Document Q&A Interface; Document drafting and editing; Enhancing Responses to Customer Questions about NLM Products; Entity Resolution Tool; Evaluating Generative AI for polio containment.; Executive Report Generation AI Copilot; Expansion of Generative AI (GenAI) Caption Generation for all Collections Videos; FOIA Document Review/Redaction Automation; Generative AI (GenAI) Still Image Tagging; Global (GIB) Initiative for Influenza Vaccine Equity (GIIVE): Ensuring Universal Access; HHSGPT; HIV Data Virtual Assistant; IT System Outage Alerts; Immunization Information Systems Guidance Documentation Navigation and Management (IDAB EDAV Azure OpenAI Technology Use; Informal generative AI research for OIDP's HIV.gov; Innovation Center Investment Proposal (ICIP) Model Analysis POC; Knowledge Management Platform; Knowledge Navigator; LLM Support for Admin Services; LLM-Assisted VAERS Analyses; Leveraging User-Generated Content for Digital Behavioral Interventions; Manufacturer Name Standardization; Medicare Fee for Service Requirements Modernization (MFRM); Model based open source reporting search and summarization; NHLBI Chat; NIAID GenAI Toolkit; NIAMS AI Chatbot Pilot; NewsScape; OCIO GenAI Advisor; OIT Help Desk Chatbot; Policy Assistant; Policy Knowledge Base Data Migration; Presenting/providing technical assistance on HIV.gov's cautious & transparent use of generative AI; QPP Admin Bot; Reddit Post Analysis for Sexual Health Using Large Language Models; Report Summarization by commercial GenAI platform; Respiratory Virus Response (RVR) Data Analysis Concept; Retrieval Augmented Generation (RAG) with Q-Bank; Scholarship Insight; School LLM initial abstract review process; Semi-Automated Nonresponse Detection for Surveys (SANDS); Sidekick Comms bot Offering User-friendly Tips (SCOUT); Smart Search; The School Closure Awareness System; Use of Natural Language Processing for Topic Modeling to Automate Review of Public Comments to Notice of Proposed Rulema; Using Generative AI for Stance Analysis of Public Comments on CDC’s Proposed Rules; Using generative AI to gain insight of older adult falls; Utilizing HHSGPT Pilot for writing/editing",AWS Bedrock; ChatGPT; Copilot; OpenAI,Department of Health and Human Services has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-3300197e65,Department of Education,United States,executive,national,yes,52,1,existing_us_federal_v1,52,AWS Bedrock- Amazon Bedrock in FSA EDMAPS Assessment for the Department Use; Generative AI Usage,AWS Bedrock,Department of Education has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-3405a6631b,United States Agency for International Development,United States,executive,national,yes,4,1,existing_us_federal_v1,4,AI assistant for Colombia Partners for Transparency; API queries from natural language prompts; ARTS - Automated Indirect Cost and Tracking System; RAG system for FEWS NET food security reports,ChatGPT,United States Agency for International Development has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-45a4dd376b,Department of Justice,United States,executive,national,yes,15,1,existing_us_federal_v1,15,Axon Video Retention Solution (VRS) - object recognition and redaction; Azure OpenAI Services - AI Assistant; Azure OpenAI Services - Analysis of audit reports; Azure OpenAI Services - Component-specific chatbot service; ChatGPT; CoPilot; FinCEN SAR Summarization; Gemini; Generation of Large Test Data Sets for OCDETF applications; Generative AI / Large Language Model: Call Center Management and Service Delivery Support (Salesforce); Generative AI / Large Language Model: Public Comment Summarization and Categorization (Docketscope); Generative AI R&D Sandbox; MACO Project: Law Enforcement CAD Data Autocoder; Percipio Skillsoft CAISY; Vendor AI Assistant,ChatGPT; Copilot; Gemini; OpenAI,Department of Justice has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-5b488f9702,National Science Foundation,United States,executive,national,yes,3,1,existing_us_federal_v1,3,"AWS Assisted Software Development; Alt text Generator for Images in NSF's Media Hub; ServiceNow GenAI ""Now Assist""",AWS Bedrock; ChatGPT,National Science Foundation has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-63b0183377,National Archives and Records Administration,United States,executive,national,yes,2,1,existing_us_federal_v1,2,Develop a Custom AI Model to Power Generative AI- Capabilities; Develop a Natural Language Based Chat Interface (like ChatGPT) to Interact With the Archival Documents,ChatGPT,National Archives and Records Administration has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-645ecb64e8,Department of Transportation,United States,executive,national,yes,17,1,existing_us_federal_v1,17,"Case and Document Management Copilot; Civil Aviation Registry Electronic Services (CARES) LLM Document Search; DOT Generative AI (GenAI) Policy; Enterprise ""Ask Dottie"" ChatBot Capability; Enterprise Personal Productivity Assistant Capability; FAA Orders and associated supplemental change notices LLM Document Search; FHWA Interim Generative AI (GenAI) Usage Guidance; Financial Policy LLM Document Search; Financials LLM Document Search; Generative AI Use Case from Inventory; Human Resources Policy Manual (HRPM) LLM Document Search; National Program Office LLM Document Search; Prognosis and Diagnosis Based on Contributing Factors to Safety Risk; Remote Maintenance Monitoring (RMM) Analyzer Copilot; Spectrum Assignment & Engineering Team LLM Document Search; Tech Ops LLM Document Search; Using Generative AI to Automatically Tag Narratives with Human Performace Common Taxonomy Factors",Copilot,Department of Transportation has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-733a08f302,Federal Housing Finance Agency,United States,executive,national,yes,3,1,existing_us_federal_v1,3,"Analytics,, Search, Queries and LLM integration for data management on Oracle; LexisNexis; WestLaw",,Federal Housing Finance Agency has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-8397939e67,Environmental Protection Agency,United States,executive,national,yes,4,1,existing_us_federal_v1,4,Generative AI for Study Evaluation and Document Chat; GovChat; Transitioning historical help desk knowledge to new help desk software; Use of Microsoft CoPilot within the M365 Purview Security Suite,Copilot,Environmental Protection Agency has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-84022cb0b1,Department of the Interior,United States,executive,national,yes,16,1,existing_us_federal_v1,16,"21st Century Prospecting: AI-assisted Surveying of Critical Mineral Potential; Adobe Firefly Generative Images; ChatGPT to write Python scripts for ArcGIS Pro Maps to be CVD-Friendly; DOIChatGPT AI Chatbot; DOIChatGPT API Management Development Environment; DOIChatGPT API Management Instance; Extracting analysis ready information from narrative geologic descriptions; Extracting robust, searchable data from narrative geologic descriptions; Generative AI to Improve Visitor Experience on NPS.gov; Non-Generative AI use for Trust Information Analysis and Reporting Tool; Pilot: Using Machine Learning to Harvest Data for Standardized Species Conservation; Proposal for the I-NEPA System: Leveraging Artificial Intelligence (AI) for Enhanced Efficiency in E; RAG knowledge base of agent procedures; Retrieval-Augmented Generation Using USGS Documentation; SOCS documents analysis; Use of artificial intelligence tools for optimization and documentation for computer codes",ChatGPT,Department of the Interior has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-84f122ad45,Department of Homeland Security,United States,executive,national,yes,21,1,existing_us_federal_v1,21,AI/LLM to generate testable synthetic data; Burlington Finance Center Voice Bot; CISAChat; Commercial Generative AI for Code Generation; Commercial Generative AI for Image Generation; Commercial Generative AI for Text Generation (AI Chatbot); Conversation Training and Feedback Simulator; DHS-Chat; Digital Records Manager (DRM) User Assistance Chatbot; Draft Tailored Summaries of Media Materials for Different Publication Channels; ESEC Inquiry (STORM) Summarization; FEMA OCFO GPT; Large Language Models for an Officer Training Tool; OCFO Code Assist GPT; OCFO Response Augmentation Suite; Planning Assistant for Resilient Communities (PARC); Recovery and Resilience Resource (RRR) Portal; Source Code Development Tool; TSA Case Handling Platform; Title III Semantic Search and Summarization for Translated Content; USCIS Translation Service,,Department of Homeland Security has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-8651e37a87,Department of Commerce,United States,executive,national,yes,11,1,existing_us_federal_v1,11,Azure OpenAI Chat Prototype; Census API GPT; Dr. NAICS LLM; FAQ for SMaRT; FirstNet Authority OCIO MS CoPilot Project; Generative AI Tools Pilot - Enterprise & Solutions Architecture; Generative AI Tools Pilot - Global Markets; GitHub Copilot for Code Modernization; Natural Language Search for data.census.gov; Statistical package syntax development and debugging; Streamline Spectrum Activities,ChatGPT; Copilot; Microsoft 365 Copilot,Department of Commerce has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-888f106f91,Department of Agriculture,United States,executive,national,yes,1,1,existing_us_federal_v1,1,DS Hub Geo-metadata generation,,Department of Agriculture has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-9ab007665e,Department of the Treasury,United States,executive,national,yes,28,1,existing_us_federal_v1,28,Advance Child Tax Credit (AdvCTC) Voicebot; Ask-CFO Research Aide; Auto Tech Debt Remedy (Individual Master File Modernization); Circular Dependencies (Individual Master File Modernization); Collections Chatbot; Copilot for M365 (Criminal Investigation Unit); Copilot for Power Platform; Economic Impact Payment (EIP) FAQ Voicebot; Employee Resource Center (ERC) Chatbot; Exercise Design; FAQs / Notice Clarifications Voicebot; Financial Relief Voicebot; Generative AI Toolbox for Contract Document Assistance; Generative AI for Form 1040X: Tax Examiner Assistant; Incident Coordination and Reporting Support; Insolvency and Offer in Compromise Voicebot; Internal Revenue Manual Research Aid (IRMA); Joint Committee on Taxation Research Aide; M365 Copilot; Modernization Accelerator - Legacy Applications Chatbot & Code Conversion; One-Time Payment Voicebot; ServiceNow Generative AI Pilot; Small Business/Self Employed (SBSE) FAQ Voicebot; Taxpayer Services Chatbot; Technical Demo of Large Language Models for Code Development; Volunteer Income Tax Assistance (VITA) Generative AI Chatbot Proof of Concept; Where's My Refund and Where's My Amended Return Voicebot; Winnie Chatbot for Employee IT FAQs,Copilot; Gemini,Department of the Treasury has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-9c6395caa8,Department of Veterans Affairs,United States,executive,national,yes,28,1,existing_us_federal_v1,28,"Billie GPT; BlackBox Code research; BlueTeam AI; CT CoPilot; Classify clinical pathway for cancer patients; Clinician-Administered PTSD Scale for DSM-5 (CAPS-5) Clinician Training Simulator; Deep-Learning approaches to develop candidate lists of terms for use in text searches; Enterprise Command Center - Generative AI; Enterprise Precision Scanning and Indexing (EPSI) Next: Enhancing Healthcare Services for Veterans; Github Copilot; HCD User Feedback Summary, Analysis, and Design; HTM-LLM; ICU CIS/ARK PDF Medical Entity and Clinical Scoring Extraction (PHI 3.5 LLM); Insights Engine; Master Claims Assistance Tool (M-CAT); Multi-Modal Digital Image Exchange - AI (MDIE-AI); Nursing Proficiency Coach & Nurse Proficiency Evaluator...and beyond!; PINGOO.AI; Policy AId; Synthetic Data Creation; Synthetic Data Generation: Experimenting with OpenSource, Third Party and GenAI; Using Artificial Intelligence to Predict Suicide; VA CART Ejection Fraction NLP; VA Chat Copilot Meta Pilot; VA.gov Chatbot: Use of AI for summative and/or intent classification of Va.gov content; VEO Virtual Analyst Proof of Concept; VRS Employment Support; VX Insights Hub Agent",ChatGPT; Copilot,Department of Veterans Affairs has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-a2671297ec,Federal Deposit Insurance Corporation,United States,executive,national,yes,5,1,existing_us_federal_v1,5,AI-driven Workflow Automations to Improve Business Operations; Content Creation; Generative Artificial Intelligence (AI) for Legal Research; Immersive Learning; Trust Document Entity Extraction - LLM,,Federal Deposit Insurance Corporation has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-a732862e4d,Department of State,United States,executive,national,yes,6,1,existing_us_federal_v1,6,AI Tools to Enhance PD Workflows; CodeGen - AI-assisted IT Application Development; Deepfake Detector; ECA Program Management and Outreach - Summarization; Evaluating Customer Feedback and Sentiments with AI; StateChat,ChatGPT,Department of State has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-a7d600d89b,National Aeronautics and Space Administration,United States,executive,national,yes,2,1,existing_us_federal_v1,2,Mars2020 Rover (Perseverance); Onboard Planner for Mars2020 Rover (Perseverance),Copilot,National Aeronautics and Space Administration has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-a86602bdc5,United States Commission on Civil Rights,United States,executive,national,yes,1,1,existing_us_federal_v1,1,Microsoft Copilot Integration,Copilot,United States Commission on Civil Rights has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-b34096d6f0,Federal Trade Commission,United States,executive,national,yes,1,1,existing_us_federal_v1,1,Developer productivity,OpenAI,Federal Trade Commission has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-ca1d05039e,United States Agency for Global Media,United States,executive,national,yes,2,1,existing_us_federal_v1,2,Automated Transcription Generation; Microsoft Copilot for Internal Employees,Copilot; OpenAI,United States Agency for Global Media has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-ce74def75e,Department of Energy,United States,executive,national,yes,23,1,existing_us_federal_v1,23,AI Chat Bot for Facility Sustainability Practices; AI Chat Bot for IT User Services; AI for Intelligent Automation; Argo; AskGDR; AskOEDI; AskPRIMR; ChatGPT Enterprise; Energy Wizard; Enhancing ClimRR Capabilities to Better Support Electric Utility Applications and Technical Assistance; GitHub Copilot with the OpenAI Codex; Hanford Ai Liaison; Hanford Popfon Search; Hanford Procedure Search; Hanford Search; Hanford Service Ticket Lookup; INL AI Virtual Assitant (AiVA); LANL AI Portal; LLM EV; Lex Natural Language Interface; Microsoft 365 Copilot (Productivity Suite); Microsoft Copilot for Security; PARSGPT,ChatGPT; Copilot; Microsoft 365 Copilot; OpenAI,Department of Energy has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-d80969be5c,Election Assistance Commission,United States,executive,national,yes,1,1,existing_us_federal_v1,1,Microsoft Copilot Integration,Copilot,Election Assistance Commission has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-e835593b45,Department of Labor,United States,executive,national,yes,6,1,existing_us_federal_v1,6,AI Assisted coding -Microsoft GitHub Copilot; Automatic Data Processing Workflow with Form Recognizer; Case Recording summarization; DOL Intranet Website Chatbot Assistant; Generative AI Assistant; Notice of Deficiency (NOD) Text Generation using Generative AI model,Copilot,Department of Labor has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-ee7a0a737d,Office of Personnel Management,United States,executive,national,yes,2,1,existing_us_federal_v1,2,Copilot for Microsoft 365; USA Class,Copilot,Office of Personnel Management has a legacy database record documenting generative AI activity.
EXT-existing-us-fede-f4ef6c4e9c,Social Security Administration,United States,executive,national,yes,2,1,existing_us_federal_v1,2,Agency Support Companion (ASC) chatbot; Generative AI for Analytic Insights,,Social Security Administration has a legacy database record documenting generative AI activity.
EXT-ra-amber-03c5278d2c,Xintai,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Xintai was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-0ec55a3705,Suining,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Suining was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-15be47088f,Tongjiang,China,executive,subnational,unclear,1,1,ra_amber_v1,0,,,"Tongjiang has possible AI activity in RA manual coding, but the evidence does not clearly confirm generative AI."
EXT-ra-amber-1b43c9d9ad,Suqian,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Suqian was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-1ddd465fbc,Jilin,China,executive,subnational,yes,1,1,ra_amber_v1,1,Public-facing chatbot / virtual assistant Citizen service / inquiries,,Jilin has documented generative AI activity in RA manual coding.
EXT-ra-amber-2291702abc,Shenyang,China,executive,subnational,unclear,1,1,ra_amber_v1,0,,,"Shenyang has possible AI activity in RA manual coding, but the evidence does not clearly confirm generative AI."
EXT-ra-amber-27a1059e8b,Baise,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Baise was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-28d3bed6fe,Xichang,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Xichang was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-2b2517392d,Daye,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Daye was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-2da141304c,Dashiqiao,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Dashiqiao was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-2e2d183ce5,Ankang,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Ankang was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-30b7701b2c,Taizhou,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Taizhou was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-30cd73e8c3,Nan'an,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Nan'an was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-45d8532daf,Qingyuan,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Qingyuan was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-511e361c54,Dongfang,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Dongfang was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-5eb8a2bff5,Dazhou,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Dazhou was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-5fdb85c606,Heihe,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Heihe was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-60e206b604,Baoji,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Baoji was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-670ef39312,Longjing,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Longjing was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-683687b080,Xingyang,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Xingyang was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-7afa4a67f3,Daqing,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Daqing was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-7ef486055c,Shishou,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Shishou was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-7f5317e290,Songzi,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Songzi was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-80d8fe1b58,Yinchuan,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Yinchuan was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-82e8f1406d,Wenling,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Wenling was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-8731e0d80b,Ruichang,China,executive,subnational,yes,1,1,ra_amber_v1,1,Image/video generation Communications / outreach,,Ruichang has documented generative AI activity in RA manual coding.
EXT-ra-amber-8a84f99bd2,Shangri-La,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Shangri-La was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-8b307070d2,Jiayuguan,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Jiayuguan was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-96d3d5170f,Heyuan,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Heyuan was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-979ae34149,Jiangyin,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Jiangyin was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-a43e7dede7,Yichun,China,executive,subnational,yes,2,1,ra_amber_v1,1,Public-facing chatbot / virtual assistant Citizen service / inquiries,DeepSeek,Yichun has documented generative AI activity in RA manual coding.
EXT-ra-amber-a5e575802a,Yuanping,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Yuanping was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-a7a941a0d1,Chenzhou,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Chenzhou was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-a894a11ff4,Qiqihar,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Qiqihar was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-adec9ec760,Yangzhou,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Yangzhou was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-ba45b85db2,Hebi,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Hebi was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-c530051d35,Lishui,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Lishui was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-c6c8a487bc,Xiaoyi,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Xiaoyi was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-cc995be455,Xinyu,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Xinyu was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-d057a8d6b9,Danzhou,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Danzhou was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-d44e48f6ac,Yiyang,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Yiyang was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-d7886b5055,Qianxi,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Qianxi was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-d87c897856,Zhuanghe,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Zhuanghe was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-de9a22ae40,Fujin,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Fujin was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-e3ef731c36,Rongcheng,China,executive,subnational,no,1,1,ra_amber_v1,0,,,Rongcheng was checked in RA manual coding and no generative AI activity was found.
EXT-ra-amber-e682a26e48,Kuqa,China,executive,subnational,yes,1,1,ra_amber_v1,1,"Document drafting / summarization, Image/video generation Internal administration (HR/finance/procurement)",,Kuqa has documented generative AI activity in RA manual coding.
